criterion,role,topic,examples
"Identifies problems and influences priority","🔌 TechOps engineering","influence 2",""
"Contributes to scaling TechOps hiring (e.g. leads calls, does onsite interviews)","🔌 TechOps engineering","influence 3",""
"Builds simple tools or iterates existing tools for the benefit of all TechOps staff","🔌 TechOps engineering","influence 3",""
"Positively influences technical thinkers in the wider organisation","🔌 TechOps engineering","influence 4",""
"Maintains documentation on things they know the most, makes it easy for future TechOps Specialists to interact with systems","🔌 TechOps engineering","influence 4",""
"Clears blockers for junior team members, provides context and guidance, or knows how to escalate appropriately","🔌 TechOps engineering","influence 4",""
"Drives changes to technical practices with well-reasoned arguments and a 'strong opinion, weakly held' mentality","🔌 TechOps engineering","influence 4",""
"Given as a reason for other guild members to join Move","🔌 TechOps engineering","influence 5",""
"Leads other team members in TechOps in large projects and helps get the most out of each person","🔌 TechOps engineering","leadership 3",""
"Helps define Weekly and Quarterly team planning sessions","🔌 TechOps engineering","leadership 3",""
"Runs retrospectives on large projects and team achievements","🔌 TechOps engineering","leadership 3",""
"Instills Move engineering principles into the team, even for operational tasks","🔌 TechOps engineering","leadership 4",""
"Helps the growth of other team members around them through coaching and mentoring","🔌 TechOps engineering","leadership 4",""
"Doesn’t necessarily know what they don’t know","📄 Generic null","knowledge 1",""
"Additional expertise or breadth of knowledge","📄 Generic null","knowledge 3",""
"Has a high-level understanding of all the areas they own","📄 Generic null","knowledge 6",""
"Understands the wider business context","📄 Generic null","knowledge 6",""
"Looks to optimise existing work (eg Processes, procedures, products, etc)","📄 Generic null","impact 1",""
"Delivers small, well-defined tasks/projects","📄 Generic null","impact 2",""
"Delegated low-impact problems to solve","📄 Generic null","impact 2",""
"Owns the implementation of the solution","📄 Generic null","impact 3",""
"Is the accountable exec for high-impact projects","📄 Generic null","impact 6",""
"Can deliver their work to their team and others","📄 Generic null","communication 2",""
"Proactively gives feedback to those they work with","📄 Generic null","communication 2",""
"Clearly communicates throughout implementation of solutions","📄 Generic null","communication 3",""
"An effective and inspiring communicator internally and externally","📄 Generic null","communication 6",""
"Works closely or in pairs with more senior members of the team when facing tasks for the first time","📄 Generic null","teamwork 1",""
"Needs support and guidance from managers, mentors and leads","📄 Generic null","teamwork 1",""
"Needs approval to ship projects of a certain impact","📄 Generic null","teamwork 1",""
"They may need support on how to navigate the professional environment","📄 Generic null","teamwork 1",""
"Starts to delegate tasks to peers","📄 Generic null","teamwork 2",""
"Collaborates within their team","📄 Generic null","teamwork 2",""
"Independently works and learns","📄 Generic null","teamwork 2",""
"Do not need to be checked in on daily","📄 Generic null","teamwork 2",""
"Collaborates across the organisation","📄 Generic null","teamwork 3",""
"Strong cultural understanding","📄 Generic null","teamwork 3",""
"Empowers those around them","📄 Generic null","teamwork 3",""
"Takes ownership of their own development","📄 Generic null","teamwork 3",""
"Leads through influence","📄 Generic null","teamwork 4",""
"Natural teacher, they’re able to formally and informally teach those around them","📄 Generic null","teamwork 4",""
"You unblock people within your area","📄 Generic null","teamwork 4",""
"You’re recognised for your impact on team culture and people want to work with you","📄 Generic null","teamwork 4",""
"You coach others to find the best solution","📄 Generic null","teamwork 5",""
"You inspire your team and can attract top talent to the organisation","📄 Generic null","teamwork 5",""
"You unblock people outside of your area","📄 Generic null","teamwork 5",""
"Leader of business culture and strategy","📄 Generic null","teamwork 6",""
"You own your area’s structure","📄 Generic null","teamwork 6",""
"Strong leadership and coaching abilities","📄 Generic null","teamwork 6",""
"Identifies risks related to own areas","📄 Generic null","conduct 1",""
"Expert risk and compliance knowledge as relevant to role","📄 Generic null","conduct 3",""
"Takes ownership for training others in risk & compliance as relevant to their role","📄 Generic null","conduct 3",""
"Promptly and effectively deals with unforeseen risks as they arise","📄 Generic null","conduct 3",""
"Uses knowledge of internal and external environment to develop strategy and internal policy","📄 Generic null","conduct 4",""
"Applies sophisticated and creative analysis and recommends remediating action","📄 Generic null","conduct 4",""
"Responds to complex issues devising smart strategies for the mitigation of risk","📄 Generic null","conduct 4",""
"Participates in risk management and mitigation at the highest industry level","📄 Generic null","conduct 5",""
"Leads by example and proves their area is managing risk and compliance within appetite","📄 Generic null","conduct 5",""
"Gets involved in and identifies opportunities for colleagues to participate in advisory, strategic, industry bodies to learn and share best practice in their area of business","📄 Generic null","conduct 5",""
"Creates a strong risk culture throughout the organisation","📄 Generic null","conduct 6",""
"Owns policies and can evidence their compliance","📄 Generic null","conduct 6",""
"Contributes to thought leadership on effective and creative risk management throughout the industry","📄 Generic null","conduct 6",""
"Proactively identifies holistic measures to robust risk management and implements them company-wide","📄 Generic null","conduct 6",""
